Tier,Market,Market full name,type of value,value,good/bad,genre,OPPORTUNITY
Europe & Middle East (Group 2),PRT,Portugal,Revenue Potential,0.002,,Match,
Europe & Middle East (Group 2),HUN,Hungary,(Paid UA) CPP,5.000,bad,Match,
Europe & Middle East (Group 2),HUN,Hungary,(Paid UA) D7 ARPPU,3.000,medium,Match,
Europe & Middle East (Group 2),HUN,Hungary,Revenue Potential,0.001,,Match,
Europe & Middle East (Group 2),FIN,Finland,(Paid UA) CPP,4.000,bad,Match,
Europe & Middle East (Group 2),FIN,Finland,(Paid UA) D7 ARPPU,3.000,medium,Match,
Europe & Middle East (Group 2),FIN,Finland,Revenue Potential,0.001,,Match,
Global Developing Markets,All countries,Global Developing Markets,(Paid UA) CPP,2.000,good,Match,
Global Developing Markets,All countries,Global Developing Markets,(Paid UA) D7 ARPPU,2.000,bad,Match,
Global Developing Markets,All countries,Global Developing Markets,Revenue Potential,0.042,,Match,
Global Developing Markets,BRA,Brazil,(Paid UA) CPP,1.000,good,Match,
Global Developing Markets,BRA,Brazil,(Paid UA) D7 ARPPU,1.000,bad,Match,
Global Developing Markets,BRA,Brazil,Revenue Potential,0.015,,Match,
Global Developing Markets,THA,Thailand,(Paid UA) CPP,3.000,medium,Match,
Global Developing Markets,THA,Thailand,(Paid UA) D7 ARPPU,2.000,bad,Match,
Global Developing Markets,THA,Thailand,Revenue Potential,0.003,,Match,
Global Developing Markets,IDN,Indonesia,(Paid UA) CPP,4.000,bad,Match,
Global Developing Markets,IDN,Indonesia,(Paid UA) D7 ARPPU,1.000,bad,Match,
Global Developing Markets,IDN,Indonesia,Revenue Potential,0.005,,Match,
Global Developing Markets,VNM,Vietnam,(Paid UA) CPP,1.000,good,Match,
Global Developing Markets,VNM,Vietnam,(Paid UA) D7 ARPPU,1.000,bad,Match,
Global Developing Markets,VNM,Vietnam,Revenue Potential,0.001,,Match,
Global Developing Markets,PHL,Philippines,(Paid UA) CPP,3.000,medium,Match,
Global Developing Markets,PHL,Philippines,(Paid UA) D7 ARPPU,1.000,bad,Match,
Global Developing Markets,PHL,Philippines,Revenue Potential,0.003,,Match,
Global Developing Markets,IND,India,(Paid UA) CPP,1.000,good,Match,
Global Developing Markets,IND,India,(Paid UA) D7 ARPPU,1.000,bad,Match,
Global Developing Markets,IND,India,Revenue Potential,0.005,,Match,
Global Developing Markets,MYS,Malaysia,(Paid UA) CPP,1.000,good,Match,
Global Developing Markets,MYS,Malaysia,(Paid UA) D7 ARPPU,1.000,bad,Match,
Global Developing Markets,MYS,Malaysia,Revenue Potential,0.003,,Match,
Global Developing Markets,ZAF,South Africa,(Paid UA) CPP,1.000,good,Match,YES
Global Developing Markets,ZAF,South Africa,(Paid UA) D7 ARPPU,4.000,good,Match,YES
Global Developing Markets,ZAF,South Africa,Revenue Potential,0.004,,Match,YES
LATAM Spanish Speaking,All countries,LATAM Spanish Speaking,(Paid UA) CPP,3.000,medium,Match,
LATAM Spanish Speaking,All countries,LATAM Spanish Speaking,(Paid UA) D7 ARPPU,2.000,bad,Match,
LATAM Spanish Speaking,All countries,LATAM Spanish Speaking,Revenue Potential,0.019,,Match,
LATAM Spanish Speaking,MEX,Mexico,(Paid UA) CPP,1.000,good,Match,
LATAM Spanish Speaking,MEX,Mexico,(Paid UA) D7 ARPPU,1.000,bad,Match,
LATAM Spanish Speaking,MEX,Mexico,Revenue Potential,0.010,,Match,
LATAM Spanish Speaking,CHL,Chile,(Paid UA) CPP,2.000,good,Match,
LATAM Spanish Speaking,CHL,Chile,(Paid UA) D7 ARPPU,2.000,bad,Match,
LATAM Spanish Speaking,CHL,Chile,Revenue Potential,0.003,,Match,
US and English Language,All countries,US and English Language,(Paid UA) CPP,4.000,bad,RPG,
US and English Language,All countries,US and English Language,(Paid UA) D7 ARPPU,3.000,medium,RPG,
US and English Language,All countries,US and English Language,Revenue Potential,0.245,,RPG,
US and English Language,USA,U.S.,(Paid UA) CPP,5.000,bad,RPG,
US and English Language,USA,U.S.,(Paid UA) D7 ARPPU,4.000,good,RPG,
US and English Language,USA,U.S.,Revenue Potential,0.198,,RPG,
US and English Language,GBR,U.K.,(Paid UA) CPP,3.000,medium,RPG,
US and English Language,GBR,U.K.,(Paid UA) D7 ARPPU,3.000,medium,RPG,
US and English Language,GBR,U.K.,Revenue Potential,0.017,,RPG,
US and English Language,CAN,Canada,(Paid UA) CPP,5.000,bad,RPG,
US and English Language,CAN,Canada,(Paid UA) D7 ARPPU,4.000,good,RPG,
US and English Language,CAN,Canada,Revenue Potential,0.016,,RPG,
US and English Language,AUS,Australia,(Paid UA) CPP,3.000,medium,RPG,
US and English Language,AUS,Australia,(Paid UA) D7 ARPPU,3.000,medium,RPG,
US and English Language,AUS,Australia,Revenue Potential,0.013,,RPG,
East Asia Pacific,All countries,East Asia Pacific,(Paid UA) CPP,4.000,bad,RPG,
East Asia Pacific,All countries,East Asia Pacific,(Paid UA) D7 ARPPU,5.000,good,RPG,
East Asia Pacific,All countries,East Asia Pacific,Revenue Potential,0.520,,RPG,
East Asia Pacific,KOR,South Korea,(Paid UA) CPP,4.000,bad,RPG,YES
East Asia Pacific,KOR,South Korea,(Paid UA) D7 ARPPU,5.000,good,RPG,YES
East Asia Pacific,KOR,South Korea,Revenue Potential,0.223,,RPG,YES
East Asia Pacific,JPN,Japan,(Paid UA) CPP,4.000,bad,RPG,YES
East Asia Pacific,JPN,Japan,(Paid UA) D7 ARPPU,5.000,good,RPG,YES
East Asia Pacific,JPN,Japan,Revenue Potential,0.150,,RPG,YES
East Asia Pacific,TWN,Taiwan,(Paid UA) CPP,5.000,bad,RPG,YES
East Asia Pacific,TWN,Taiwan,(Paid UA) D7 ARPPU,5.000,good,RPG,YES
East Asia Pacific,TWN,Taiwan,Revenue Potential,0.093,,RPG,YES
East Asia Pacific,HKG,Hong Kong,(Paid UA) CPP,3.000,medium,RPG,YES
East Asia Pacific,HKG,Hong Kong,(Paid UA) D7 ARPPU,5.000,good,RPG,YES
East Asia Pacific,HKG,Hong Kong,Revenue Potential,0.043,,RPG,YES
East Asia Pacific,SGP,Singapore,(Paid UA) CPP,3.000,medium,RPG,YES
East Asia Pacific,SGP,Singapore,(Paid UA) D7 ARPPU,5.000,good,RPG,YES
East Asia Pacific,SGP,Singapore,Revenue Potential,0.010,,RPG,YES
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),(Paid UA) CPP,3.000,medium,RPG,
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),(Paid UA) D7 ARPPU,4.000,good,RPG,
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),Revenue Potential,0.092,,RPG,
Europe & Middle East (Group 1),DEU,Germany,(Paid UA) CPP,3.000,medium,RPG,YES
Europe & Middle East (Group 1),DEU,Germany,(Paid UA) D7 ARPPU,4.000,good,RPG,YES
Europe & Middle East (Group 1),DEU,Germany,Revenue Potential,0.030,,RPG,YES
Europe & Middle East (Group 1),FRA,France,(Paid UA) CPP,2.000,good,RPG,YES
Europe & Middle East (Group 1),FRA,France,(Paid UA) D7 ARPPU,4.000,good,RPG,YES
Europe & Middle East (Group 1),FRA,France,Revenue Potential,0.026,,RPG,YES
Europe & Middle East (Group 1),ITA,Italy,(Paid UA) CPP,2.000,good,RPG,
Europe & Middle East (Group 1),ITA,Italy,(Paid UA) D7 ARPPU,2.000,bad,RPG,
Europe & Middle East (Group 1),ITA,Italy,Revenue Potential,0.006,,RPG,
Europe & Middle East (Group 1),ESP,Spain,(Paid UA) CPP,2.000,good,RPG,
Europe & Middle East (Group 1),ESP,Spain,(Paid UA) D7 ARPPU,2.000,bad,RPG,
Europe & Middle East (Group 1),ESP,Spain,Revenue Potential,0.005,,RPG,
Europe & Middle East (Group 1),NLD,Netherlands,(Paid UA) CPP,4.000,bad,RPG,
Europe & Middle East (Group 1),NLD,Netherlands,(Paid UA) D7 ARPPU,3.000,medium,RPG,
Europe & Middle East (Group 1),NLD,Netherlands,Revenue Potential,0.005,,RPG,
Europe & Middle East (Group 1),CHE,Switzerland,(Paid UA) CPP,5.000,bad,RPG,YES
Europe & Middle East (Group 1),CHE,Switzerland,(Paid UA) D7 ARPPU,5.000,good,RPG,YES
Europe & Middle East (Group 1),CHE,Switzerland,Revenue Potential,0.004,,RPG,YES
Europe & Middle East (Group 1),AUT,Austria,(Paid UA) CPP,5.000,bad,RPG,
Europe & Middle East (Group 1),AUT,Austria,(Paid UA) D7 ARPPU,4.000,good,RPG,
Europe & Middle East (Group 1),AUT,Austria,Revenue Potential,0.003,,RPG,
Europe & Middle East (Group 1),SWE,Sweden,(Paid UA) CPP,5.000,bad,RPG,
Europe & Middle East (Group 1),SWE,Sweden,(Paid UA) D7 ARPPU,3.000,medium,RPG,
Europe & Middle East (Group 1),SWE,Sweden,Revenue Potential,0.002,,RPG,
Europe & Middle East (Group 1),DNK,Denmark,(Paid UA) CPP,4.000,bad,RPG,
Europe & Middle East (Group 1),DNK,Denmark,(Paid UA) D7 ARPPU,3.000,medium,RPG,
Europe & Middle East (Group 1),DNK,Denmark,Revenue Potential,0.002,,RPG,
Europe & Middle East (Group 2),All countries,Europe & Middle East (Group 2),(Paid UA) CPP,2.000,good,RPG,
Europe & Middle East (Group 2),All countries,Europe & Middle East (Group 2),(Paid UA) D7 ARPPU,2.000,bad,RPG,
Europe & Middle East (Group 2),All countries,Europe & Middle East (Group 2),Revenue Potential,0.035,,RPG,
Europe & Middle East (Group 2),RUS,Russia,(Paid UA) CPP,4.000,bad,RPG,
Europe & Middle East (Group 2),RUS,Russia,(Paid UA) D7 ARPPU,2.000,bad,RPG,
Europe & Middle East (Group 2),RUS,Russia,Revenue Potential,0.012,,RPG,
Europe & Middle East (Group 2),TUR,Turkey ,(Paid UA) CPP,1.000,good,RPG,
Europe & Middle East (Group 2),TUR,Turkey ,(Paid UA) D7 ARPPU,1.000,bad,RPG,
Europe & Middle East (Group 2),TUR,Turkey ,Revenue Potential,0.005,,RPG,
Europe & Middle East (Group 2),POL,Poland,(Paid UA) CPP,1.000,good,RPG,
Europe & Middle East (Group 2),POL,Poland,(Paid UA) D7 ARPPU,2.000,bad,RPG,
Europe & Middle East (Group 2),POL,Poland,Revenue Potential,0.004,,RPG,
Global Developing Markets,All countries,Global Developing Markets,(Paid UA) CPP,1.000,good,RPG,
Global Developing Markets,All countries,Global Developing Markets,(Paid UA) D7 ARPPU,1.000,bad,RPG,
Global Developing Markets,All countries,Global Developing Markets,Revenue Potential,0.097,,RPG,
Global Developing Markets,BRA,Brazil,(Paid UA) CPP,2.000,good,RPG,
Global Developing Markets,BRA,Brazil,(Paid UA) D7 ARPPU,1.000,bad,RPG,
Global Developing Markets,BRA,Brazil,Revenue Potential,0.010,,RPG,
Global Developing Markets,THA,Thailand,(Paid UA) CPP,1.000,good,RPG,
Global Developing Markets,THA,Thailand,(Paid UA) D7 ARPPU,1.000,bad,RPG,
Global Developing Markets,THA,Thailand,Revenue Potential,0.039,,RPG,
Global Developing Markets,IDN,Indonesia,(Paid UA) CPP,1.000,good,RPG,
Global Developing Markets,IDN,Indonesia,(Paid UA) D7 ARPPU,1.000,bad,RPG,
Global Developing Markets,IDN,Indonesia,Revenue Potential,0.014,,RPG,
Global Developing Markets,VNM,Vietnam,(Paid UA) CPP,1.000,good,RPG,
Global Developing Markets,VNM,Vietnam,(Paid UA) D7 ARPPU,1.000,bad,RPG,
Global Developing Markets,VNM,Vietnam,Revenue Potential,0.011,,RPG,
Global Developing Markets,PHL,Philippines,(Paid UA) CPP,1.000,good,RPG,
Global Developing Markets,PHL,Philippines,(Paid UA) D7 ARPPU,1.000,bad,RPG,
Global Developing Markets,PHL,Philippines,Revenue Potential,0.014,,RPG,
Global Developing Markets,MYS,Malaysia,(Paid UA) CPP,2.000,good,RPG,
Global Developing Markets,MYS,Malaysia,(Paid UA) D7 ARPPU,2.000,bad,RPG,
Global Developing Markets,MYS,Malaysia,Revenue Potential,0.006,,RPG,
LATAM Spanish Speaking,All countries,LATAM Spanish Speaking,(Paid UA) CPP,1.000,good,RPG,
LATAM Spanish Speaking,All countries,LATAM Spanish Speaking,(Paid UA) D7 ARPPU,1.000,bad,RPG,
LATAM Spanish Speaking,All countries,LATAM Spanish Speaking,Revenue Potential,0.008,,RPG,
US and English Language,All countries,US and English Language,(Paid UA) CPP,4.000,bad,Casino,
US and English Language,All countries,US and English Language,(Paid UA) D7 ARPPU,4.000,good,Casino,
US and English Language,All countries,US and English Language,Revenue Potential,0.652,,Casino,
US and English Language,USA,U.S.,(Paid UA) CPP,5.000,bad,Casino,YES
US and English Language,USA,U.S.,(Paid UA) D7 ARPPU,5.000,good,Casino,YES
US and English Language,USA,U.S.,Revenue Potential,0.530,,Casino,YES
US and English Language,GBR,U.K.,(Paid UA) CPP,3.000,medium,Casino,YES
US and English Language,GBR,U.K.,(Paid UA) D7 ARPPU,3.000,medium,Casino,YES
US and English Language,GBR,U.K.,Revenue Potential,0.032,,Casino,YES
US and English Language,CAN,Canada,(Paid UA) CPP,4.000,bad,Casino,
US and English Language,CAN,Canada,(Paid UA) D7 ARPPU,3.000,medium,Casino,
US and English Language,CAN,Canada,Revenue Potential,0.032,,Casino,
US and English Language,AUS,Australia,(Paid UA) CPP,4.000,bad,Casino,YES
US and English Language,AUS,Australia,(Paid UA) D7 ARPPU,5.000,good,Casino,YES
US and English Language,AUS,Australia,Revenue Potential,0.052,,Casino,YES
US and English Language,NZL,New Zealand,(Paid UA) CPP,3.000,medium,Casino,
US and English Language,NZL,New Zealand,(Paid UA) D7 ARPPU,1.000,bad,Casino,
US and English Language,NZL,New Zealand,Revenue Potential,0.005,,Casino,
East Asia Pacific,All countries,East Asia Pacific,(Paid UA) CPP,5.000,bad,Casino,
East Asia Pacific,All countries,East Asia Pacific,(Paid UA) D7 ARPPU,5.000,good,Casino,
East Asia Pacific,All countries,East Asia Pacific,Revenue Potential,0.102,,Casino,
East Asia Pacific,JPN,Japan,(Paid UA) CPP,5.000,bad,Casino,
East Asia Pacific,JPN,Japan,(Paid UA) D7 ARPPU,4.000,good,Casino,
East Asia Pacific,JPN,Japan,Revenue Potential,0.035,,Casino,
East Asia Pacific,TWN,Taiwan,(Paid UA) CPP,5.000,bad,Casino,YES
East Asia Pacific,TWN,Taiwan,(Paid UA) D7 ARPPU,5.000,good,Casino,YES
East Asia Pacific,TWN,Taiwan,Revenue Potential,0.020,,Casino,YES
East Asia Pacific,HKG,Hong Kong,(Paid UA) CPP,5.000,bad,Casino,
East Asia Pacific,HKG,Hong Kong,(Paid UA) D7 ARPPU,4.000,good,Casino,
East Asia Pacific,HKG,Hong Kong,Revenue Potential,0.008,,Casino,
East Asia Pacific,SGP,Singapore,(Paid UA) CPP,5.000,bad,Casino,YES
East Asia Pacific,SGP,Singapore,(Paid UA) D7 ARPPU,5.000,good,Casino,YES
East Asia Pacific,SGP,Singapore,Revenue Potential,0.006,,Casino,YES
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),(Paid UA) CPP,3.000,medium,Casino,
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),(Paid UA) D7 ARPPU,4.000,good,Casino,
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),Revenue Potential,0.112,,Casino,
Europe & Middle East (Group 1),DEU,Germany,(Paid UA) CPP,4.000,bad,Casino,
Europe & Middle East (Group 1),DEU,Germany,(Paid UA) D7 ARPPU,3.000,medium,Casino,
Europe & Middle East (Group 1),DEU,Germany,Revenue Potential,0.036,,Casino,
Europe & Middle East (Group 1),FRA,France,(Paid UA) CPP,3.000,medium,Casino,YES
Europe & Middle East (Group 1),FRA,France,(Paid UA) D7 ARPPU,4.000,good,Casino,YES
Europe & Middle East (Group 1),FRA,France,Revenue Potential,0.011,,Casino,YES
Europe & Middle East (Group 1),ITA,Italy,(Paid UA) CPP,3.000,medium,Casino,YES
Europe & Middle East (Group 1),ITA,Italy,(Paid UA) D7 ARPPU,3.000,medium,Casino,YES
Europe & Middle East (Group 1),ITA,Italy,Revenue Potential,0.010,,Casino,YES
Europe & Middle East (Group 1),ESP,Spain,(Paid UA) CPP,2.000,good,Casino,
Europe & Middle East (Group 1),ESP,Spain,(Paid UA) D7 ARPPU,2.000,bad,Casino,
Europe & Middle East (Group 1),ESP,Spain,Revenue Potential,0.005,,Casino,
Europe & Middle East (Group 1),NLD,Netherlands,(Paid UA) CPP,2.000,good,Casino,YES
Europe & Middle East (Group 1),NLD,Netherlands,(Paid UA) D7 ARPPU,4.000,good,Casino,YES
Europe & Middle East (Group 1),NLD,Netherlands,Revenue Potential,0.009,,Casino,YES
Europe & Middle East (Group 1),CHE,Switzerland,(Paid UA) CPP,4.000,bad,Casino,YES
Europe & Middle East (Group 1),CHE,Switzerland,(Paid UA) D7 ARPPU,5.000,good,Casino,YES
Europe & Middle East (Group 1),CHE,Switzerland,Revenue Potential,0.005,,Casino,YES
Europe & Middle East (Group 1),AUT,Austria,(Paid UA) CPP,3.000,medium,Casino,YES
Europe & Middle East (Group 1),AUT,Austria,(Paid UA) D7 ARPPU,5.000,good,Casino,YES
Europe & Middle East (Group 1),AUT,Austria,Revenue Potential,0.003,,Casino,YES
Europe & Middle East (Group 1),BEL,Belgium,(Paid UA) CPP,4.000,bad,Casino,
Europe & Middle East (Group 1),BEL,Belgium,(Paid UA) D7 ARPPU,2.000,bad,Casino,
Europe & Middle East (Group 1),BEL,Belgium,Revenue Potential,0.002,,Casino,
Europe & Middle East (Group 1),SWE,Sweden,(Paid UA) CPP,2.000,good,Casino,
Europe & Middle East (Group 1),SWE,Sweden,(Paid UA) D7 ARPPU,2.000,bad,Casino,
Europe & Middle East (Group 1),SWE,Sweden,Revenue Potential,0.003,,Casino,
Europe & Middle East (Group 1),NOR,Norway,(Paid UA) CPP,5.000,bad,Casino,
Europe & Middle East (Group 1),NOR,Norway,(Paid UA) D7 ARPPU,4.000,good,Casino,
Europe & Middle East (Group 1),NOR,Norway,Revenue Potential,0.002,,Casino,
Europe & Middle East (Group 1),DNK,Denmark,(Paid UA) CPP,4.000,bad,Casino,
Europe & Middle East (Group 1),DNK,Denmark,(Paid UA) D7 ARPPU,4.000,good,Casino,
Europe & Middle East (Group 1),DNK,Denmark,Revenue Potential,0.002,,Casino,
Europe & Middle East (Group 2),All countries,Europe & Middle East (Group 2),(Paid UA) CPP,1.000,good,Casino,
Europe & Middle East (Group 2),All countries,Europe & Middle East (Group 2),(Paid UA) D7 ARPPU,2.000,bad,Casino,
Europe & Middle East (Group 2),All countries,Europe & Middle East (Group 2),Revenue Potential,0.057,,Casino,
Europe & Middle East (Group 2),TUR,Turkey ,(Paid UA) CPP,2.000,good,Casino,
Europe & Middle East (Group 2),TUR,Turkey ,(Paid UA) D7 ARPPU,1.000,bad,Casino,
Europe & Middle East (Group 2),TUR,Turkey ,Revenue Potential,0.020,,Casino,
Europe & Middle East (Group 2),POL,Poland,(Paid UA) CPP,1.000,good,Casino,YES
Europe & Middle East (Group 2),POL,Poland,(Paid UA) D7 ARPPU,3.000,medium,Casino,YES
Europe & Middle East (Group 2),POL,Poland,Revenue Potential,0.006,,Casino,YES
Europe & Middle East (Group 2),CZE,Czechia,(Paid UA) CPP,1.000,good,Casino,
Europe & Middle East (Group 2),CZE,Czechia,(Paid UA) D7 ARPPU,1.000,bad,Casino,
Europe & Middle East (Group 2),CZE,Czechia,Revenue Potential,0.002,,Casino,
Europe & Middle East (Group 2),HUN,Hungary,(Paid UA) CPP,2.000,good,Casino,
Europe & Middle East (Group 2),HUN,Hungary,(Paid UA) D7 ARPPU,1.000,bad,Casino,
Europe & Middle East (Group 2),HUN,Hungary,Revenue Potential,0.002,,Casino,
Global Developing Markets,All countries,Global Developing Markets,(Paid UA) CPP,1.000,good,Casino,
Global Developing Markets,All countries,Global Developing Markets,(Paid UA) D7 ARPPU,2.000,bad,Casino,
Global Developing Markets,All countries,Global Developing Markets,Revenue Potential,0.061,,Casino,
Global Developing Markets,BRA,Brazil,(Paid UA) CPP,1.000,good,Casino,YES
Global Developing Markets,BRA,Brazil,(Paid UA) D7 ARPPU,2.000,bad,Casino,YES
Global Developing Markets,BRA,Brazil,Revenue Potential,0.026,,Casino,YES
Global Developing Markets,THA,Thailand,(Paid UA) CPP,1.000,good,Casino,
Global Developing Markets,THA,Thailand,(Paid UA) D7 ARPPU,1.000,bad,Casino,
Global Developing Markets,THA,Thailand,Revenue Potential,0.003,,Casino,
Global Developing Markets,PHL,Philippines,(Paid UA) CPP,1.000,good,Casino,YES
Global Developing Markets,PHL,Philippines,(Paid UA) D7 ARPPU,2.000,bad,Casino,YES
Global Developing Markets,PHL,Philippines,Revenue Potential,0.004,,Casino,YES
Global Developing Markets,MYS,Malaysia,(Paid UA) CPP,2.000,good,Casino,
Global Developing Markets,MYS,Malaysia,(Paid UA) D7 ARPPU,1.000,bad,Casino,
Global Developing Markets,MYS,Malaysia,Revenue Potential,0.008,,Casino,
Global Developing Markets,ZAF,South Africa,(Paid UA) CPP,1.000,good,Casino,
Global Developing Markets,ZAF,South Africa,(Paid UA) D7 ARPPU,1.000,bad,Casino,
Global Developing Markets,ZAF,South Africa,Revenue Potential,0.002,,Casino,
LATAM Spanish Speaking,All countries,LATAM Spanish Speaking,(Paid UA) CPP,2.000,good,Casino,
LATAM Spanish Speaking,All countries,LATAM Spanish Speaking,(Paid UA) D7 ARPPU,3.000,medium,Casino,
LATAM Spanish Speaking,All countries,LATAM Spanish Speaking,Revenue Potential,0.009,,Casino,
LATAM Spanish Speaking,MEX,Mexico,(Paid UA) CPP,3.000,medium,Casino,YES
LATAM Spanish Speaking,MEX,Mexico,(Paid UA) D7 ARPPU,3.000,medium,Casino,YES
LATAM Spanish Speaking,MEX,Mexico,Revenue Potential,0.004,,Casino,YES
LATAM Spanish Speaking,CHL,Chile,(Paid UA) CPP,1.000,good,Casino,
LATAM Spanish Speaking,CHL,Chile,(Paid UA) D7 ARPPU,2.000,bad,Casino,
LATAM Spanish Speaking,CHL,Chile,Revenue Potential,0.001,,Casino,
US and English Language,All countries,US and English Language,(Paid UA) CPP,3.000,medium,Strategy,
US and English Language,All countries,US and English Language,(Paid UA) D7 ARPPU,3.000,medium,Strategy,
US and English Language,All countries,US and English Language,Revenue Potential,0.408,,Strategy,
US and English Language,USA,U.S.,(Paid UA) CPP,5.000,bad,Strategy,
US and English Language,USA,U.S.,(Paid UA) D7 ARPPU,4.000,good,Strategy,
US and English Language,USA,U.S.,Revenue Potential,0.320,,Strategy,
US and English Language,GBR,U.K.,(Paid UA) CPP,2.000,good,Strategy,YES
US and English Language,GBR,U.K.,(Paid UA) D7 ARPPU,3.000,medium,Strategy,YES
US and English Language,GBR,U.K.,Revenue Potential,0.040,,Strategy,YES
US and English Language,CAN,Canada,(Paid UA) CPP,3.000,medium,Strategy,YES
US and English Language,CAN,Canada,(Paid UA) D7 ARPPU,3.000,medium,Strategy,YES
US and English Language,CAN,Canada,Revenue Potential,0.023,,Strategy,YES
US and English Language,AUS,Australia,(Paid UA) CPP,4.000,bad,Strategy,
US and English Language,AUS,Australia,(Paid UA) D7 ARPPU,3.000,medium,Strategy,
US and English Language,AUS,Australia,Revenue Potential,0.020,,Strategy,
East Asia Pacific,All countries,East Asia Pacific,(Paid UA) CPP,5.000,bad,Strategy,
East Asia Pacific,All countries,East Asia Pacific,(Paid UA) D7 ARPPU,5.000,good,Strategy,
East Asia Pacific,All countries,East Asia Pacific,Revenue Potential,0.260,,Strategy,
East Asia Pacific,KOR,South Korea,(Paid UA) CPP,5.000,bad,Strategy,
East Asia Pacific,KOR,South Korea,(Paid UA) D7 ARPPU,5.000,good,Strategy,
East Asia Pacific,KOR,South Korea,Revenue Potential,0.113,,Strategy,
East Asia Pacific,JPN,Japan,(Paid UA) CPP,5.000,bad,Strategy,
East Asia Pacific,JPN,Japan,(Paid UA) D7 ARPPU,4.000,good,Strategy,
East Asia Pacific,JPN,Japan,Revenue Potential,0.072,,Strategy,
East Asia Pacific,TWN,Taiwan,(Paid UA) CPP,3.000,medium,Strategy,YES
East Asia Pacific,TWN,Taiwan,(Paid UA) D7 ARPPU,5.000,good,Strategy,YES
East Asia Pacific,TWN,Taiwan,Revenue Potential,0.040,,Strategy,YES
East Asia Pacific,HKG,Hong Kong,(Paid UA) CPP,1.000,good,Strategy,YES
East Asia Pacific,HKG,Hong Kong,(Paid UA) D7 ARPPU,5.000,good,Strategy,YES
East Asia Pacific,HKG,Hong Kong,Revenue Potential,0.028,,Strategy,YES
East Asia Pacific,SGP,Singapore,(Paid UA) CPP,5.000,bad,Strategy,YES
East Asia Pacific,SGP,Singapore,(Paid UA) D7 ARPPU,5.000,good,Strategy,YES
East Asia Pacific,SGP,Singapore,Revenue Potential,0.007,,Strategy,YES
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),(Paid UA) CPP,4.000,bad,Strategy,
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),(Paid UA) D7 ARPPU,3.000,medium,Strategy,
Europe & Middle East (Group 1),All countries,Europe & Middle East (Group 1),Revenue Potential,0.155,,Strategy,
Europe & Middle East (Group 1),DEU,Germany,(Paid UA) CPP,4.000,bad,Strategy,YES
Europe & Middle East (Group 1),DEU,Germany,(Paid UA) D7 ARPPU,4.000,good,Strategy,YES
Europe & Middle East (Group 1),DEU,Germany,Revenue Potential,0.057,,Strategy,YES
Europe & Middle East (Group 1),FRA,France,(Paid UA) CPP,5.000,bad,Strategy,
Europe & Middle East (Group 1),FRA,France,(Paid UA) D7 ARPPU,3.000,medium,Strategy,
Europe & Middle East (Group 1),FRA,France,Revenue Potential,0.028,,Strategy,
Europe & Middle East (Group 1),ITA,Italy,(Paid UA) CPP,2.000,good,Strategy,YES
Europe & Middle East (Group 1),ITA,Italy,(Paid UA) D7 ARPPU,2.000,bad,Strategy,YES
Europe & Middle East (Group 1),ITA,Italy,Revenue Potential,0.011,,Strategy,YES
Europe & Middle East (Group 1),ESP,Spain,(Paid UA) CPP,3.000,medium,Strategy,
Europe & Middle East (Group 1),ESP,Spain,(Paid UA) D7 ARPPU,2.000,bad,Strategy,
Europe & Middle East (Group 1),ESP,Spain,Revenue Potential,0.007,,Strategy,
Europe & Middle East (Group 1),NLD,Netherlands,(Paid UA) CPP,3.000,medium,Strategy,
Europe & Middle East (Group 1),NLD,Netherlands,(Paid UA) D7 ARPPU,2.000,bad,Strategy,
Europe & Middle East (Group 1),NLD,Netherlands,Revenue Potential,0.010,,Strategy,
Europe & Middle East (Group 1),CHE,Switzerland,(Paid UA) CPP,4.000,bad,Strategy,YES
Europe & Middle East (Group 1),CHE,Switzerland,(Paid UA) D7 ARPPU,5.000,good,Strategy,YES
Europe & Middle East (Group 1),CHE,Switzerland,Revenue Potential,0.008,,Strategy,YES
Europe & Middle East (Group 1),AUT,Austria,(Paid UA) CPP,4.000,bad,Strategy,YES
Europe & Middle East (Group 1),AUT,Austria,(Paid UA) D7 ARPPU,5.000,good,Strategy,YES
Europe & Middle East (Group 1),AUT,Austria,Revenue Potential,0.006,,Strategy,YES
Europe & Middle East (Group 1),BEL,Belgium,(Paid UA) CPP,4.000,bad,Strategy,
Europe & Middle East (Group 1),BEL,Belgium,(Paid UA) D7 ARPPU,4.000,good,Strategy,
Europe & Middle East (Group 1),BEL,Belgium,Revenue Potential,0.005,,Strategy,
Europe & Middle East (Group 1),SWE,Sweden,(Paid UA) CPP,3.000,medium,Strategy,
Europe & Middle East (Group 1),SWE,Sweden,(Paid UA) D7 ARPPU,3.000,medium,Strategy,
Europe & Middle East (Group 1),SWE,Sweden,Revenue Potential,0.004,,Strategy,
Europe & Middle East (Group 1),NOR,Norway,(Paid UA) CPP,4.000,bad,Strategy,YES
